pp,wk,ve,tot
22,2,11,120.7821842662132
22,2,12,120.80502138868131
22,2,13,120.82785851114942
22,2,14,120.8506956336175
22,2,15,120.87353275608561
22,2,16,120.89636987855371
22,2,17,120.91920700102182
22,2,18,120.94204412348992
22,2,19,120.96488124595801
22,2,20,120.98771836842612
22,2,21,121.01055549089422
22,2,22,121.03339261336231
22,2,23,121.05622973583041
22,2,24,121.07906685829852
22,2,25,121.10190398076662
22,2,26,121.12474110323473
22,2,27,121.14757822570282
22,2,28,121.17041534817092
22,2,29,121.19325247063901
22,2,30,121.21608959310711
22,2,31,121.23892671557522
22,2,32,121.26176383804332
22,2,33,121.28460096051143
22,2,34,121.30743808297952
22,2,35,121.33027520544762
22,2,36,121.35311232791572
22,2,37,121.37594945038381
22,2,38,121.39878657285192
22,2,39,121.42162369532002
22,2,40,121.44446081778813
22,2,41,121.46729794025623
22,2,42,121.49013506272432
22,2,43,121.51297218519242
